id,title_romaji,title_english,episodes,status,average_score,popularity,favourites,genres,studios,source,season,start_date,end_date
176314,Sasaki to Pii-chan 2nd Season,,,NOT_YET_RELEASED,,4232,47,"Comedy, Fantasy, Mahou Shoujo",KADOKAWA,LIGHT_NOVEL,,None-None-None,None-None-None
176370,"Hime-sama, ""Goumon"" no Jikan desu 2nd Season","'Tis Time for ""Torture,"" Princess Season 2",,NOT_YET_RELEASED,,3499,23,"Comedy, Fantasy",Shogakukan-Shueisha Productions,MANGA,,None-None-None,None-None-None
176496,Ore dake Level Up na Ken: Season 2 - Arise from the Shadow,Solo Leveling Season 2 -Arise from the Shadow-,,NOT_YET_RELEASED,,60915,1313,"Action, Adventure, Fantasy","Crunchyroll, Aniplex, A-1 Pictures",OTHER,WINTER,2025-1-None,None-None-None
176508,Shangri-La Frontier 2nd Season,Shangri-La Frontier Season 2,25.0,RELEASING,79.0,45676,931,"Action, Adventure, Comedy, Fantasy, Sci-Fi","C2C, Kodansha, Mainichi Broadcasting System, Netmarble, Crunchyroll, Tencent, Dentsu, Sammy",MANGA,FALL,2024-10-13,None-None-None
176642,Ameku Takao no Suiri Karte,Ameku M.D.: Doctor Detective,,NOT_YET_RELEASED,,3328,21,"Mystery, Slice of Life","Aniplex, project No.9",OTHER,WINTER,2025-1-2,None-None-None
176660,Sengoku Youko: Senma Konton-hen,Sengoku Youko: The Thousandfold Chaos Arc,22.0,RELEASING,69.0,7533,130,"Action, Adventure, Fantasy","White Fox, ABC Animation, Mixer, Crunchyroll, NetEase Games, BS Asahi, Bandai Namco Music Live, Nagoya Broadcasting Network, FuRyu, Nippon Animation, ABC Frontier",MANGA,SUMMER,2024-7-18,None-None-None
176702,Teogonia,Teogonia,,NOT_YET_RELEASED,,1114,8,"Action, Fantasy","Hakuhodo DY Music & Pictures, Asahi Production, WOWMAX",LIGHT_NOVEL,,2025-None-None,None-None-None
177120,Ninja to Koroshiya no Futarigurashi,,,NOT_YET_RELEASED,,1139,10,Comedy,"Shaft, KADOKAWA, Bit Grooove Promotion, Heart Company",MANGA,SPRING,2025-4-None,None-None-None
177159,Momentary Lily,,,NOT_YET_RELEASED,,2413,11,Action,"GoHands, Shouchiku",ORIGINAL,WINTER,2025-1-2,None-None-None
177175,Arknights: Enshin Shomei,Arknights: RISE FROM EMBER,,NOT_YET_RELEASED,,2964,33,"Action, Fantasy",Yostar Pictures,VIDEO_GAME,,None-None-None,None-None-None
177385,Ikoku Nikki,,,NOT_YET_RELEASED,,2294,9,"Drama, Slice of Life","Shuka, Pony Canyon",MANGA,,None-None-None,None-None-None
177460,Tonari no 801-chan,,,CANCELLED,,41,1,"Comedy, Romance, Slice of Life",Kyoto Animation,MANGA,,None-None-None,None-None-None
177474,Tougen Anki,Tougen Anki: Legend of the Cursed Blood,,NOT_YET_RELEASED,,3941,43,"Action, Mystery, Supernatural",Pony Canyon,MANGA,,2025-None-None,None-None-None
177476,Shin Samurai-den YAIBA,YAIBA: Samurai Legend,,NOT_YET_RELEASED,,1591,8,"Adventure, Comedy, Fantasy","Shogakukan, Wit Studio",MANGA,SPRING,2025-4-None,None-None-None
177506,Izure Saikyou no Renkinjutsushi?,,,NOT_YET_RELEASED,,4637,69,"Adventure, Fantasy","AlphaPolis, Studio Comet, Pony Canyon",LIGHT_NOVEL,WINTER,2025-1-1,None-None-None
177509,Kakushite! Makina-san!!,,,NOT_YET_RELEASED,,2137,19,"Comedy, Ecchi, Mecha, Romance, Sci-Fi",WWWave,MANGA,,2025-None-None,None-None-None
177552,Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,Medaka Kuroiwa is Impervious to My Charms,,NOT_YET_RELEASED,,7962,78,"Comedy, Ecchi, Romance","SynergySP, DMM pictures",MANGA,WINTER,2025-1-7,None-None-None
177581,Kinokoinu,Kinokoinu Mushroom Pup,12.0,RELEASING,58.0,2231,26,"Comedy, Drama, Fantasy, Slice of Life","C-Station, FuRyu, ABC Animation, 81 Produce, Universal Music, BS11, AT-X, KLOCKWORX, Tokuma Shoten",MANGA,FALL,2024-10-3,2024-12-19
177634,Diamond no Ace act II (Zoku-hen),,,NOT_YET_RELEASED,,1884,33,Sports,,MANGA,,None-None-None,None-None-None
177679,Darwin Jihen,,,NOT_YET_RELEASED,,1262,6,"Sci-Fi, Thriller","Toho, BELLNOX FILMS",MANGA,,None-None-None,None-None-None
177689,Hikaru ga Shinda Natsu,The Summer Hikaru Died,,NOT_YET_RELEASED,,7511,59,"Horror, Mystery, Psychological, Supernatural, Thriller","KADOKAWA, CygamesPictures, Netflix",MANGA,SUMMER,2025-None-None,None-None-None
177699,Koukaku Kidoutai (2026),,,NOT_YET_RELEASED,,2636,12,,"Science SARU, Bandai Namco Filmworks, Kodansha, Production I.G",MANGA,,2026-None-None,None-None-None
177709,SAKAMOTO DAYS,SAKAMOTO DAYS,,NOT_YET_RELEASED,,39933,437,"Action, Comedy",TMS Entertainment,MANGA,WINTER,2025-1-11,None-None-None
177761,9-nine- Shihaisha no Oukan,,,NOT_YET_RELEASED,,979,11,"Mystery, Supernatural",PRA,VISUAL_NOVEL,,2025-None-None,None-None-None
177880,Osomatsu-san 4,,,NOT_YET_RELEASED,,690,9,"Comedy, Slice of Life",PIERROT FILMS,MANGA,,None-None-None,None-None-None
177937,SPY×FAMILY Season 3,,,NOT_YET_RELEASED,,16565,152,"Action, Comedy, Slice of Life, Supernatural","Wit Studio, CloverWorks",MANGA,,None-None-None,None-None-None
178005,Tamon-kun Ima Docchi!?,,,NOT_YET_RELEASED,,1666,14,"Comedy, Romance","J.C. Staff, Hakusensha",MANGA,,None-None-None,None-None-None
178022,"Hana wa Saku, Shura no Gotoku",Flower and Asura,,NOT_YET_RELEASED,,4875,18,"Drama, Slice of Life","Studio Bind, King Records",MANGA,WINTER,2025-1-8,None-None-None
178025,Gachiakuta,,,NOT_YET_RELEASED,,9512,94,"Action, Drama, Fantasy","bones, Kodansha, Avex Pictures",MANGA,,2025-None-None,None-None-None
178031,Dungeon Meshi 2nd Season,,,NOT_YET_RELEASED,,21750,182,"Adventure, Comedy, Fantasy","KADOKAWA, Trigger",MANGA,,None-None-None,None-None-None
178046,GUILTY GEAR STRIVE: DUAL RULERS,,,NOT_YET_RELEASED,,1585,16,Action,SANZIGEN,VIDEO_GAME,,2025-None-None,None-None-None
178052,Princess-Session Orchestra,,,NOT_YET_RELEASED,,931,4,Music,"King Records, SILVER LINK.",ORIGINAL,,2025-None-None,None-None-None
178083,Tokyo Revengers (Zoku-hen),,,NOT_YET_RELEASED,,7966,76,"Action, Drama, Romance, Supernatural",Pony Canyon,MANGA,,None-None-None,None-None-None
178090,"Tensei Shitara Dai Nana Ouji Dattanode, Kimamani Majutsu wo Kiwamemasu 2nd Season",,,NOT_YET_RELEASED,,8238,105,"Action, Adventure, Fantasy, Slice of Life",,LIGHT_NOVEL,,None-None-None,None-None-None
178100,"Hazure Skill ""Kinomi Master"": Skill no Mi (Tabetara Shinu) wo Mugen ni Taberareru You ni Natta Ken Nitsuite",Bogus Skill <<Fruitmaster>> ~About that time I became able to eat unlimited numbers of Skill Fruits (that kill you)~,,NOT_YET_RELEASED,,2305,25,"Action, Adventure, Fantasy","Asahi Production, DMM pictures",OTHER,WINTER,2025-1-7,None-None-None
